dates,hours,soil-moisture,soil-temperature
2022-12-23,00,16.705333333333332,8.271333333333333
2022-12-23,01,15.530666666666665,7.682666666666666
2022-12-23,02,14.356,7.094
2022-12-23,03,13.181333333333333,6.505333333333334
2022-12-23,04,12.006666666666666,5.916666666666667
2022-12-23,05,13.408055555555555,6.192222222222222
2022-12-23,06,14.809444444444443,6.467777777777778
2022-12-23,07,16.210833333333333,6.743333333333334
2022-12-23,08,17.612222222222222,7.018888888888889
2022-12-23,09,19.01361111111111,7.294444444444444
2022-12-23,10,20.415,7.57
2022-12-23,11,20.225,6.91
2022-12-23,12,20.09,6.390000000000001
2022-12-23,13,20.046666666666663,5.966666666666666
2022-12-23,14,20.016666666666666,5.62
2022-12-23,15,19.993333333333336,5.41
2022-12-23,16,20.013333333333332,5.256666666666667
2022-12-23,17,20.03,5.609999999999999
2022-12-23,18,19.88,5.53
2022-12-23,19,19.855,5.484999999999999
2022-12-23,20,19.819999999999997,5.453333333333333
2022-12-23,21,19.740000000000002,5.220000000000001
2022-12-23,22,19.665,4.775
2022-12-23,23,19.54,4.45
2022-12-24,00,19.18,4.03
2022-12-24,01,18.820000000000004,3.856666666666667
2022-12-24,02,17.985,3.58
2022-12-24,03,17.22,3.4066666666666663
2022-12-24,04,16.26,3.23
2022-12-24,05,11.68,2.2975
2022-12-24,06,15.076666666666668,2.9599999999999995
2022-12-24,07,14.48,2.81
2022-12-24,08,13.85,2.685
2022-12-24,09,13.445,2.585
2022-12-24,10,13.05,2.47
2022-12-24,11,12.745000000000001,2.38
2022-12-24,12,12.44,2.29
2022-12-24,13,12.306666666666665,2.21
2022-12-24,14,12.173333333333332,2.1300000000000003
2022-12-24,15,12.21,2.12
2022-12-24,16,12.52,2.12
2022-12-24,17,13.6,2.23
2022-12-24,18,14.068333333333333,2.296666666666667
2022-12-24,19,14.536666666666667,2.3633333333333333
2022-12-24,20,15.155,2.48
2022-12-24,21,15.27,2.49
2022-12-24,22,15.145,2.4850000000000003
2022-12-24,23,15.094999999999999,2.455
2022-12-25,00,14.96,2.425
2022-12-25,01,14.77,2.38
2022-12-25,02,14.4,2.3449999999999998
2022-12-25,03,14.1,2.3
2022-12-25,04,13.65,2.26
2022-12-25,05,13.469999999999999,2.2350000000000003
2022-12-25,06,8.75,1.47
2022-12-25,07,12.985,2.175
2022-12-25,08,12.705,2.14
2022-12-25,09,12.475,2.105
2022-12-25,10,12.205,2.05
2022-12-25,11,11.99,2.01
2022-12-25,12,11.84,2.0
2022-12-25,13,11.795,1.96
2022-12-25,14,12.0,1.97
2022-12-25,15,12.635,2.045
2022-12-25,16,13.3825,2.3225
2022-12-25,17,14.129999999999999,2.6
2022-12-25,18,14.2,2.7
2022-12-25,19,14.35,2.91
2022-12-25,20,14.43,3.1950000000000003
2022-12-25,21,14.44,3.1
2022-12-25,22,14.45,2.89
2022-12-25,23,14.49,2.76
2022-12-26,00,14.47,2.6799999999999997
2022-12-26,01,14.376666666666665,2.5933333333333333
2022-12-26,02,14.3,2.5549999999999997
2022-12-26,03,14.12,2.47
2022-12-26,04,13.97,2.42
2022-12-26,05,13.803333333333335,2.3699999999999997
2022-12-26,06,8.94,1.5399999999999998
2022-12-26,07,13.08,2.2533333333333334
2022-12-26,08,12.64,2.2
2022-12-26,09,12.256666666666666,2.1466666666666665
2022-12-26,10,12.02,2.12
2022-12-26,11,11.585,2.0300000000000002
2022-12-26,12,11.42,1.98
2022-12-26,13,11.942499999999999,2.0324999999999998
2022-12-26,14,12.465,2.085
2022-12-26,15,13.67,2.47
2022-12-26,16,13.795,2.635
2022-12-26,17,14.004999999999999,3.5
2022-12-26,18,14.03,3.825
2022-12-26,19,14.09,4.06
2022-12-26,20,14.08,4.26
2022-12-26,21,14.04,4.17
2022-12-26,22,14.055,4.075
2022-12-26,23,14.07,3.9850000000000003
2022-12-27,00,14.1,3.92
2022-12-27,01,14.11,3.95
2022-12-27,02,14.08,3.96
2022-12-27,03,14.190000000000001,3.88
2022-12-27,04,14.26,3.78
2022-12-27,05,13.242142857142857,3.5164285714285715
2022-12-27,06,12.224285714285713,3.2528571428571427
2022-12-27,07,11.206428571428571,2.9892857142857143
2022-12-27,08,10.188571428571429,2.725714285714286
2022-12-27,09,9.170714285714286,2.462142857142857
2022-12-27,10,8.152857142857144,2.198571428571429
2022-12-27,11,7.135,1.935
2022-12-27,12,10.692499999999999,2.7725
2022-12-27,13,14.25,3.61
2022-12-27,14,14.192,3.992
2022-12-27,15,14.134,4.374
2022-12-27,16,14.076,4.756
2022-12-27,17,14.018,5.138
2022-12-27,18,13.96,5.52
2022-12-27,19,13.96,5.785
2022-12-27,20,13.99,5.96
2022-12-27,21,13.8,5.87
2022-12-27,22,13.821666666666667,5.601666666666667
2022-12-27,23,13.843333333333332,5.333333333333333
2022-12-28,00,13.864999999999998,5.0649999999999995
2022-12-28,01,13.895,4.905
2022-12-28,02,13.93,4.71
2022-12-28,03,13.96,4.45
2022-12-28,04,13.97,4.3
2022-12-28,05,13.98,4.17
2022-12-28,06,14.01,4.029999999999999
2022-12-28,07,14.004999999999999,3.94
2022-12-28,08,13.99,3.835
2022-12-28,09,13.981666666666667,3.745833333333333
2022-12-28,10,13.973333333333334,3.6566666666666663
2022-12-28,11,6.975,1.765
2022-12-28,12,13.925,3.4850000000000003
2022-12-28,13,13.89,3.44
2022-12-28,14,14.035,3.615
2022-12-28,15,14.04,3.87
2022-12-28,16,13.9,4.36
2022-12-28,17,13.84,5.48
2022-12-28,18,13.76,5.84
2022-12-28,19,13.68,6.2
2022-12-28,20,13.6,6.56
2022-12-28,21,13.565,6.51
2022-12-28,22,13.552499999999998,6.245
2022-12-28,23,13.54,5.98
2022-12-29,00,13.585,5.795
2022-12-29,01,13.629999999999999,5.654999999999999
2022-12-29,02,13.61,5.59
2022-12-29,03,13.64,5.63
2022-12-29,04,13.646666666666668,5.56
2022-12-29,05,13.67,5.6
2022-12-29,06,13.66,5.6899999999999995
2022-12-29,07,13.605,5.775
2022-12-29,08,13.65,5.67
2022-12-29,09,13.6375,5.6625
2022-12-29,10,13.625,5.654999999999999
2022-12-29,11,13.635000000000002,5.63
2022-12-29,12,9.106666666666667,3.78
2022-12-29,13,13.66,5.75
2022-12-29,14,13.625,6.025
2022-12-29,15,13.566666666666668,6.37
2022-12-29,16,13.535,7.04
2022-12-29,17,13.44,7.793333333333334
2022-12-29,18,13.33,8.05
2022-12-29,19,13.29,8.415
2022-12-29,20,13.25,8.78
2022-12-29,21,13.195,8.61
2022-12-29,22,13.14,8.44
2022-12-29,23,13.14,8.31
2022-12-30,00,13.15,8.02
2022-12-30,01,13.18,7.795
2022-12-30,02,13.21,7.57
2022-12-30,03,13.23,7.31
2022-12-30,04,13.25,7.1866666666666665
2022-12-30,05,13.278333333333332,7.033333333333333
2022-12-30,06,13.306666666666667,6.88
2022-12-30,07,13.344999999999999,6.755000000000001
2022-12-30,08,13.370000000000001,6.775
2022-12-30,09,13.36,6.93
2022-12-30,10,13.335,7.0
2022-12-30,11,13.31,7.07
2022-12-30,12,13.2975,7.18
2022-12-30,13,13.285,7.29
2022-12-30,14,13.2325,7.807499999999999
2022-12-30,15,13.18,8.325
2022-12-30,16,13.149999999999999,8.8325
2022-12-30,17,13.12,9.34
2022-12-30,18,13.033333333333331,9.753333333333332
2022-12-30,19,12.996666666666668,9.969999999999999
2022-12-30,20,12.966666666666667,10.076666666666666
2022-12-30,21,12.93,10.08
2022-12-30,22,12.9,9.955
2022-12-30,23,12.92,9.71
2022-12-31,00,12.92,9.68
2022-12-31,01,12.92,9.65
2022-12-31,02,12.92,9.61
2022-12-31,03,12.948333333333334,9.608333333333333
2022-12-31,04,12.976666666666667,9.606666666666666
2022-12-31,05,13.004999999999999,9.605
2022-12-31,06,13.033333333333333,9.603333333333333
2022-12-31,07,13.061666666666667,9.601666666666667
2022-12-31,08,13.09,9.6
2022-12-31,09,13.094999999999999,9.538333333333334
2022-12-31,10,13.1,9.476666666666668
2022-12-31,11,13.086666666666666,9.547777777777778
2022-12-31,12,13.073333333333334,9.61888888888889
2022-12-31,13,13.06,9.69
2022-12-31,14,13.198461538461538,9.744615384615384
2022-12-31,15,13.336923076923076,9.79923076923077
2022-12-31,16,13.475384615384616,9.853846153846154
2022-12-31,17,13.613846153846154,9.908461538461538
2022-12-31,18,13.752307692307692,9.963076923076922
2022-12-31,19,13.89076923076923,10.017692307692307
2022-12-31,20,14.02923076923077,10.072307692307692
2022-12-31,21,14.167692307692308,10.126923076923077
2022-12-31,22,14.306153846153846,10.181538461538462
2022-12-31,23,14.444615384615384,10.236153846153847
2023-01-01,00,14.583076923076923,10.29076923076923
2023-01-01,01,14.721538461538461,10.345384615384615
2023-01-01,02,14.86,10.4
2023-01-01,03,14.841999999999999,10.506666666666668
2023-01-01,04,14.824,10.613333333333333
2023-01-01,05,14.806,10.72
2023-01-01,06,14.788,10.826666666666666
2023-01-01,07,14.77,10.933333333333334
2023-01-01,08,14.751999999999999,11.040000000000001
2023-01-01,09,14.734,11.146666666666667
2023-01-01,10,14.716,11.253333333333334
2023-01-01,11,14.698,11.36
2023-01-01,12,14.68,11.466666666666667
2023-01-01,13,14.661999999999999,11.573333333333334
2023-01-01,14,14.644,11.68
2023-01-01,15,14.626,11.786666666666667
2023-01-01,16,14.608,11.893333333333333
2023-01-01,17,14.59,12.0
2023-01-01,18,14.491666666666667,12.273333333333333
2023-01-01,19,14.393333333333333,12.546666666666667
2023-01-01,20,14.295,12.82
2023-01-01,21,14.26,12.72
2023-01-01,22,14.21,12.32
2023-01-01,23,14.285,11.905000000000001
2023-01-02,00,14.36,11.49
2023-01-02,01,14.395,11.325
2023-01-02,02,14.43,11.16
2023-01-02,03,14.465,10.995000000000001
2023-01-02,04,14.5,10.83
2023-01-02,05,14.5,10.71
2023-01-02,06,14.493333333333334,10.573333333333334
2023-01-02,07,14.486666666666666,10.436666666666667
2023-01-02,08,14.48,10.3
2023-01-02,09,14.52,10.2
2023-01-02,10,14.56,10.1
2023-01-02,11,14.54,10.22
2023-01-02,12,14.495,10.4575
2023-01-02,13,14.45,10.695
2023-01-02,14,14.405,10.932500000000001
2023-01-02,15,14.36,11.17
2023-01-02,16,14.3225,11.5775
2023-01-02,17,14.285,11.985
2023-01-02,18,14.25,12.38
2023-01-02,19,14.196666666666667,12.696666666666667
2023-01-02,20,14.24,12.72
2023-01-02,21,14.24,12.82
2023-01-02,22,14.198333333333334,12.683333333333334
2023-01-02,23,14.156666666666666,12.546666666666667
2023-01-03,00,14.163333333333332,12.346666666666666
2023-01-03,01,14.155000000000001,12.28
2023-01-03,02,14.15,12.229999999999999
2023-01-03,03,14.115,12.195
2023-01-03,04,14.096666666666666,12.043333333333331
2023-01-03,05,14.093333333333334,11.969999999999999
2023-01-03,06,14.083333333333334,11.983333333333334
2023-01-03,07,14.073333333333332,12.13
2023-01-03,08,14.065000000000001,12.305
2023-01-03,09,14.053333333333335,12.423333333333334
2023-01-03,10,14.04,12.530000000000001
2023-01-03,11,14.03,12.616666666666665
2023-01-03,12,14.006666666666666,12.676666666666668
2023-01-03,13,14.0,12.703333333333333
2023-01-03,14,13.985,12.754999999999999
2023-01-03,15,14.1,12.895
2023-01-03,16,14.085,13.085
2023-01-03,17,14.083333333333334,13.256666666666666
2023-01-03,18,14.06,13.559999999999999
2023-01-03,19,14.04,13.66
2023-01-03,20,14.34,13.73
2023-01-03,21,15.02,13.76
2023-01-03,22,17.183333333333334,13.92
2023-01-03,23,52.575,14.465
2023-01-04,00,82.32333333333334,14.596666666666666
2023-01-04,01,60.400000000000006,14.420000000000002
2023-01-04,02,33.96666666666667,14.273333333333333
2023-01-04,03,66.26,14.333333333333334
2023-01-04,04,72.36166666666668,14.348333333333333
2023-01-04,05,78.46333333333334,14.363333333333332
2023-01-04,06,82.0,14.465
2023-01-04,07,79.28,14.49
2023-01-04,08,47.22,14.38
2023-01-04,09,30.3,14.4
2023-01-04,10,56.17,14.566666666666666
2023-01-04,11,82.04,14.733333333333334
2023-01-04,12,82.54,14.556666666666668
2023-01-04,13,83.04,14.38
2023-01-04,14,83.05,14.38
2023-01-04,15,79.12,14.41
2023-01-04,16,54.24666666666667,14.636666666666665
2023-01-04,17,43.76,14.79
2023-01-04,18,36.769999999999996,15.225
2023-01-04,19,30.123333333333335,15.450000000000001
2023-01-04,20,27.05,15.61
2023-01-04,21,25.545,15.469999999999999
2023-01-04,22,25.214615384615385,15.167692307692306
2023-01-04,23,24.884230769230772,14.865384615384615
2023-01-05,00,24.553846153846155,14.563076923076922
2023-01-05,01,24.22346153846154,14.26076923076923
2023-01-05,02,23.893076923076926,13.958461538461538
2023-01-05,03,23.56269230769231,13.656153846153845
2023-01-05,04,23.232307692307693,13.353846153846153
2023-01-05,05,22.901923076923076,13.05153846153846
2023-01-05,06,22.571538461538463,12.749230769230769
2023-01-05,07,22.241153846153846,12.446923076923076
2023-01-05,08,21.910769230769233,12.144615384615385
2023-01-05,09,21.580384615384617,11.842307692307692
2023-01-05,10,21.25,11.54
2023-01-05,11,21.19,11.45
2023-01-05,12,21.13,11.32
2023-01-05,13,21.03,11.17
2023-01-05,14,20.916666666666668,11.476666666666667
2023-01-05,15,20.803333333333335,11.783333333333333
2023-01-05,16,20.69,12.09
2023-01-05,17,20.606666666666666,12.593333333333334
2023-01-05,18,20.53,12.9
2023-01-05,19,20.46,12.72
2023-01-05,20,20.37,12.86
2023-01-05,21,20.3,12.633333333333333
2023-01-05,22,20.23,12.406666666666666
2023-01-05,23,20.16,12.18
2023-01-06,00,20.130000000000003,11.925
2023-01-06,01,20.1,11.67
2023-01-06,02,20.08666666666667,11.44
2023-01-06,03,20.06,11.24
2023-01-06,04,20.03,10.97
2023-01-06,05,20.0,10.79
2023-01-06,06,19.99,10.65
2023-01-06,07,19.97,10.53
2023-01-06,08,19.946666666666665,10.309999999999999
2023-01-06,09,19.923333333333332,10.09
2023-01-06,10,19.9,9.87
2023-01-06,11,19.884999999999998,9.732499999999998
2023-01-06,12,19.87,9.594999999999999
2023-01-06,13,19.85,9.577499999999999
2023-01-06,14,19.83,9.559999999999999
2023-01-06,15,19.7,10.11
2023-01-06,16,19.63,10.62
2023-01-06,17,19.56,11.129999999999999
2023-01-06,18,19.506666666666664,11.213333333333333
2023-01-06,19,19.453333333333333,11.296666666666667
2023-01-06,20,19.4,11.38
2023-01-06,21,19.325,11.545
2023-01-06,22,19.2975,11.2625
2023-01-06,23,19.27,10.98
2023-01-07,00,19.28,10.56
2023-01-07,01,19.28,10.4
2023-01-07,02,19.27,10.11
2023-01-07,03,19.27,10.004999999999999
2023-01-07,04,19.266666666666666,9.83
2023-01-07,05,19.263333333333335,9.655
2023-01-07,06,19.26,9.48
2023-01-07,07,19.236,9.543000000000001
2023-01-07,08,19.212,9.606
2023-01-07,09,19.188000000000002,9.669
2023-01-07,10,19.164,9.732
2023-01-07,11,19.14,9.795
2023-01-07,12,19.116,9.858
2023-01-07,13,19.092,9.921
2023-01-07,14,19.068,9.984
2023-01-07,15,19.044,10.046999999999999
2023-01-07,16,19.02,10.11
2023-01-07,17,18.953333333333333,10.62
2023-01-07,18,18.911666666666665,10.9125
2023-01-07,19,18.869999999999997,11.205
2023-01-07,20,18.813333333333333,11.613333333333335
2023-01-07,21,18.77,11.61
2023-01-07,22,18.768333333333334,11.37
2023-01-07,23,18.766666666666666,11.13
2023-01-08,00,18.765,10.89
2023-01-08,01,18.76,10.84
2023-01-08,02,18.753333333333334,10.795
2023-01-08,03,18.746666666666666,10.75
2023-01-08,04,18.740000000000002,10.705
2023-01-08,05,18.733333333333334,10.66
2023-01-08,06,18.726666666666667,10.615
2023-01-08,07,18.72,10.57
2023-01-08,08,18.715,10.52
2023-01-08,09,18.71,10.47
2023-01-08,10,18.702,10.442
2023-01-08,11,18.694000000000003,10.414
2023-01-08,12,18.686,10.386000000000001
2023-01-08,13,18.678,10.358
2023-01-08,14,18.67,10.33
2023-01-08,15,18.55,10.94
2023-01-08,16,18.52,11.183333333333334
2023-01-08,17,18.490000000000002,11.426666666666666
2023-01-08,18,18.46,11.67
2023-01-08,19,18.435000000000002,11.865
2023-01-08,20,18.41,12.06
2023-01-08,21,18.5025,11.793333333333333
2023-01-08,22,18.595,11.526666666666667
2023-01-08,23,18.6875,11.26
2023-01-10,00,18.78,10.993333333333334
2023-01-10,01,18.8725,10.726666666666667
2023-01-10,02,18.965,10.46
2023-01-10,03,19.0575,10.193333333333333
2023-01-10,04,19.15,9.926666666666666
2023-01-10,05,19.2425,9.66
2023-01-10,06,19.335,9.393333333333333
2023-01-10,07,19.4275,9.126666666666665
2023-01-10,08,19.52,8.86
2023-01-10,09,19.486875,8.913124999999999
2023-01-10,10,19.45375,8.966249999999999
2023-01-10,11,19.420625,9.019375
2023-01-10,12,19.387500000000003,9.0725
2023-01-10,13,19.354375,9.125625
2023-01-10,14,19.321250000000003,9.17875
2023-01-10,15,19.288125,9.231875
2023-01-10,16,19.255000000000003,9.285
2023-01-10,17,19.189999999999998,10.120000000000001
2023-01-10,18,19.125,10.3475
2023-01-10,19,19.060000000000002,10.575
2023-01-10,20,19.0,11.09
2023-01-10,21,18.9775,10.865
2023-01-10,22,18.955,10.64
2023-01-10,23,18.9325,10.415
2023-01-11,00,18.91,10.19
2023-01-11,01,18.92,9.93
2023-01-11,02,18.91,9.725
2023-01-11,03,18.9,9.52
2023-01-11,04,18.895999999999997,9.386
2023-01-11,05,18.892,9.251999999999999
2023-01-11,06,18.887999999999998,9.118
2023-01-11,07,18.884,8.984
2023-01-11,08,18.88,8.85
2023-01-11,09,18.85,8.73
2023-01-11,10,18.85,8.67
2023-01-11,11,18.84,8.66
2023-01-11,12,18.830000000000002,8.65
2023-01-11,13,18.82,8.64
2023-01-11,14,18.776,9.098
2023-01-11,15,18.732,9.556000000000001
2023-01-11,16,18.688000000000002,10.014
2023-01-11,17,18.644000000000002,10.472
2023-01-11,18,18.6,10.93
2023-01-11,19,18.545,11.23
2023-01-11,20,18.49,11.67
2023-01-11,21,18.475,11.754999999999999
2023-01-11,22,18.464166666666667,11.714166666666666
2023-01-11,23,18.453333333333333,11.673333333333332
2023-01-12,00,18.442500000000003,11.6325
2023-01-12,01,18.43166666666667,11.591666666666667
2023-01-12,02,18.420833333333334,11.550833333333333
2023-01-12,03,18.41,11.51
2023-01-12,04,18.4,11.41
2023-01-12,05,18.39,11.309999999999999
2023-01-12,06,18.39,11.239999999999998
2023-01-12,07,18.39,11.17
2023-01-12,08,18.38,11.228
2023-01-12,09,18.37,11.286
2023-01-12,10,18.36,11.344000000000001
2023-01-12,11,18.35,11.402000000000001
2023-01-12,12,18.34,11.46
2023-01-12,13,18.33,11.54
2023-01-12,14,18.299999999999997,11.915
2023-01-12,15,18.27,12.29
2023-01-12,16,18.229999999999997,12.615
2023-01-12,17,18.19,12.93
2023-01-12,18,18.155,13.280000000000001
2023-01-12,19,18.125,13.379999999999999
2023-01-12,20,18.11,13.425
2023-01-12,21,18.20777777777778,13.278518518518519
2023-01-12,22,18.305555555555554,13.132037037037037
2023-01-12,23,18.403333333333332,12.985555555555557
2023-01-13,00,18.50111111111111,12.839074074074075
2023-01-13,01,18.59888888888889,12.692592592592593
2023-01-13,02,18.696666666666665,12.546111111111111
2023-01-13,03,18.794444444444444,12.39962962962963
2023-01-13,04,18.892222222222223,12.25314814814815
2023-01-13,05,18.99,12.106666666666667
2023-01-13,06,19.087777777777777,11.960185185185185
2023-01-13,07,19.185555555555556,11.813703703703704
2023-01-13,08,19.28333333333333,11.667222222222223
2023-01-13,09,19.38111111111111,11.520740740740742
2023-01-13,10,19.47888888888889,11.37425925925926
2023-01-13,11,19.576666666666668,11.227777777777778
2023-01-13,12,19.674444444444443,11.081296296296298
2023-01-13,13,19.772222222222222,10.934814814814816
2023-01-13,14,19.87,10.788333333333334
2023-01-13,15,19.967777777777776,10.641851851851852
2023-01-13,16,20.065555555555555,10.49537037037037
2023-01-13,17,20.163333333333334,10.34888888888889
2023-01-13,18,20.261111111111113,10.202407407407408
2023-01-13,19,20.358888888888888,10.055925925925926
2023-01-13,20,20.456666666666667,9.909444444444444
2023-01-13,21,20.554444444444446,9.762962962962963
2023-01-13,22,20.65222222222222,9.616481481481483
2023-01-13,23,20.75,9.47
2023-01-14,00,20.72,9.36
2023-01-14,01,20.65,9.06
2023-01-14,02,20.611666666666665,8.906666666666666
2023-01-14,03,20.573333333333334,8.753333333333334
2023-01-14,04,20.535,8.600000000000001
2023-01-14,05,20.496666666666666,8.446666666666667
2023-01-14,06,20.458333333333336,8.293333333333333
2023-01-14,07,20.42,8.14
2023-01-14,08,20.380000000000003,8.0
2023-01-14,09,20.34,7.86
2023-01-14,10,20.3,7.72
2023-01-14,11,20.29,7.68
2023-01-14,12,20.22,7.47
2023-01-14,13,20.21,7.47
2023-01-14,14,20.2,7.47
2023-01-14,15,20.12,7.883333333333334
2023-01-14,16,20.04,8.296666666666667
2023-01-14,17,19.96,8.71
2023-01-14,18,19.89,8.93
2023-01-14,19,19.864285714285714,8.732857142857142
2023-01-14,20,19.83857142857143,8.535714285714285
2023-01-14,21,19.812857142857144,8.338571428571429
2023-01-14,22,19.787142857142857,8.141428571428571
2023-01-14,23,19.76142857142857,7.944285714285714
2023-01-15,00,19.735714285714288,7.747142857142856
2023-01-15,01,19.71,7.55
2023-01-15,02,19.70111111111111,7.386666666666667
2023-01-15,03,19.692222222222224,7.223333333333334
2023-01-15,04,19.683333333333334,7.06
2023-01-15,05,19.674444444444443,6.8966666666666665
2023-01-15,06,19.665555555555557,6.733333333333333
2023-01-15,07,19.656666666666666,6.57
2023-01-15,08,19.647777777777776,6.406666666666666
2023-01-15,09,19.63888888888889,6.243333333333333
2023-01-15,10,19.63,6.08
2023-01-15,11,19.62,5.9
2023-01-15,12,19.6,5.775
2023-01-15,13,19.6,5.73
2023-01-15,14,19.58,6.16
2023-01-15,15,19.529999999999998,6.663333333333333
2023-01-15,16,19.48,7.166666666666667
2023-01-15,17,19.43,7.67
2023-01-15,18,19.409166666666668,7.619166666666667
2023-01-15,19,19.388333333333332,7.568333333333333
2023-01-15,20,19.3675,7.5175
2023-01-15,21,19.346666666666668,7.466666666666667
2023-01-15,22,19.325833333333332,7.4158333333333335
